,location,title,company,salary,summary,rating
126,"Nagasandra (Bangalore), Karnataka",newDATA SCIENTIST,String Bio,NA,"
Presenting information using data visualization techniques.
Present information using data visualization techniques.
Overall experience of 2+ years.
",3.5
127,"Bengaluru, Karnataka",Data Scientist,Maersk,NA,"
Do you have passion for data mining and machine learning algorithms?
Identify and operationalize valuable insights from the data into business and digital…
",4.1
128,"Mumbai, Maharashtra",Data Scientist (Analyst),Transorg Analytics,NA,"
Experience in data mining and data analysis is preferred.
Must have a passion for data, structured or unstructured.
Why would you like to join us?
",2.0
129,"Kochi, Kerala+1 location",Data Scientist,IBM,NA,"
Scripting data cleaning and gathering tools.
Computer Science fundamentals in data structures and problem solving.
Are you craving to learn more?
",3.9
130,"Hyderabad, Telangana+2 locations",Data Scientist,S&P Global,NA,"
To create data regression models, using predictive data modelling and analysing data mining algorithms to deliver insights and implement action-oriented…
",3.9
131,"Noida, Uttar Pradesh",Data Scientist,Crowe,NA,"
A combination of data scientists and machine learning engineers create and deploy AI functionality into software to solve complex problems.
",3.6
132,"Gurgaon, Haryana",newData Scientist Assistant Manager | India,Ubiquity,NA,"
Experience working with and creating data architectures.
Experience using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw…
",NA
133,"Jaipur, Rajasthan",newGIS Data Analyst,Khushi Baby,NA,"
Produce reports on geographic data utilizing data visualizations.
Designing digital maps with geographic data and other data sources.
",NA
134,"Pune, Maharashtra",Senior Data Scientist,Icertis,NA,"
Define the variables and their inter-relationships and extract the data from our data repositories, leveraging infrastructure including Cloud computing…
",3.8
135,Remote,Data Science- Internship (Remote),International School of AI & Data Science,"₹15,000 a month","
INSAID provides online programs in artificial intelligence, machine learning & data science.
Work on case studies, class materials, and projects for the data…
",NA
136,"Mumbai, Maharashtra",Data Scientist,Deutsche Bank,NA,"
We are strong believers in data-based decision making.
Experience with relevant data providers such as Morningstar, eVestment, Broadridge.
",3.8
137,"Bengaluru, Karnataka",newSenior Associate - Data Science,TheMathCompany,NA,"
We are looking for individuals who are curious, excited about learning, and navigating through the uncertainties and complexities that are associated with a…
",2.0
138,"Bengaluru, Karnataka",Senior Data Scientist,Flipkart,NA,"
In a nutshell, the terabytes of daily data compounded in Flipkart’s data centres offer a dynamic mix of numerical,.
Holistic outcome at the product delivery.
",4.1
139,"Delhi, Delhi",Data Scientist,MedTourEasy,"₹8,25,000 - ₹9,15,000 a year","
Present information using data visualization techniques.
Identify valuable data sources and automate collection processes.
Analytical mind and business acumen.
",NA
140,"Noida, Uttar Pradesh",Freelance Data Analytics,Analytics Squad,"₹15,000 - ₹18,000 a month","
Experience in data extraction and data manipulation including Importing.
Research, analyze, and present data as assigned.
Analyst *- Power BI/SQL/SAS/Tableau.
",NA
141,"Chennai, Tamil Nadu",newPrincipal ML Engineer,Mr. Cooper,NA,"
5+ years of Hands-on experience in data classification – binomial, single and multiclass, regression – Linear, Logistic, Polynomial, Lasso; data sentiment…
",3.2
142,"Bengaluru, Karnataka",MBOS_Data Science Engineer - Image Database,Mercedes-Benz Research and Development India...,NA,"
Knowledge of data warehouse technologies and relevant data modeling best practices.
Develop and maintain expertise in advanced and/or emerging data management…
",4.0
143,"Bengaluru, Karnataka",Experience Data Scientist,Microsoft,NA,"
Interest and/or strong experience in data visualization tools.
Own relationships with product teams to identify research questions, and partner with Engineering…
",4.2
144,"Bengaluru, Karnataka",Data Analyst (Risk Research) - Risk Analytics,GO-JEK,NA,"
We use big data with human intelligence to make the best decision.
Develop innovative analytical techniques and data science frameworks to detect abnormal…
",NA
145,"Bengaluru, Karnataka",newData Scientist – Process Data Modelling,Shell,NA,"
This policy describes the processing that may be associated with your personal data and informs you that your personal data may be transferred to Royal Dutch…
",3.9
